open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base,taker_buy_quote,ignore
2025-12-01 00:00:00,90360.01,90417.0,88874.72,88920.0,1504.72762,1764548099999,134733744.58845550,225337,583.68593000,52203578.15657500,0
2025-12-01 00:15:00,88920.0,89097.61,88350.36,88375.56,896.72776,1764548999999,79473988.20454740,165932,361.51626000,32045610.23979720,0
2025-12-01 00:30:00,88375.55,88440.0,87637.71,87735.34,1167.99897,1764549899999,102742152.10725320,186720,561.21555000,49361194.02067550,0
2025-12-01 00:45:00,87737.65,87775.51,86959.99,87000.0,1038.00091,1764550799999,90630267.89843550,164080,375.53834000,32780767.01634790,0
2025-12-01 01:00:00,87000.0,87697.95,86941.4,87411.81,702.38812,1764551699999,61360741.82534830,132988,445.70119000,38940359.26755880,0
2025-12-01 01:15:00,87411.81,87749.99,87240.66,87268.11,419.99601,1764552599999,36741912.09084020,93424,186.42346000,16315866.73403190,0
2025-12-01 01:30:00,87268.1,87603.0,87178.0,87431.94,253.03189,1764553499999,22116207.03526290,77932,139.91267000,12227753.00381110,0
2025-12-01 01:45:00,87431.94,87472.68,87152.23,87168.91,212.62494,1764554399999,18564515.57491680,64450,93.37898000,8153104.26761150,0
2025-12-01 02:00:00,87168.9,87500.0,87069.33,87400.01,502.66692,1764555299999,43860234.70818380,73724,254.13436000,22183855.16578990,0
2025-12-01 02:15:00,87400.01,87461.36,87087.3,87088.25,258.3514,1764556199999,22531800.65388730,50786,94.74736000,8264058.67827580,0
2025-12-01 02:30:00,87088.24,87152.0,86580.0,86819.53,863.95236,1764557099999,75071341.38976230,99492,301.69265000,26197647.95722550,0
2025-12-01 02:45:00,86819.53,86842.0,86474.34,86722.29,427.2272,1764557999999,37014060.26687780,82694,189.47434000,16414736.15163320,0
2025-12-01 03:00:00,86722.3,86800.0,86380.08,86398.02,548.12799,1764558899999,47467906.31889490,88002,180.38248000,15622449.97918380,0
2025-12-01 03:15:00,86398.02,86613.82,86315.79,86381.97,358.5422,1764559799999,30995175.84042230,90454,129.93814000,11232663.85814080,0
2025-12-01 03:30:00,86381.97,86448.92,86161.61,86448.92,582.24086,1764560699999,50250457.55408010,80111,132.42829000,11429079.73861990,0
2025-12-01 03:45:00,86448.91,86472.29,86218.79,86346.13,513.05451,1764561599999,44294617.26576640,46847,161.00162000,13901006.10251920,0
2025-12-01 04:00:00,86346.13,86350.01,85962.14,86032.04,809.77317,1764562499999,69759834.68806530,89861,251.14242000,21643840.46666410,0
2025-12-01 04:15:00,86032.04,86060.47,85700.0,85733.67,490.30104,1764563399999,42114289.61729550,91163,200.01401000,17184531.27127940,0
2025-12-01 04:30:00,85733.66,86009.25,85695.44,85895.25,264.11773,1764564299999,22679026.98391500,60544,131.50887000,11293480.37704560,0
2025-12-01 04:45:00,85895.24,85917.89,85740.81,85801.03,298.82157,1764565199999,25651858.96816200,48473,148.48366000,12747728.70786920,0
2025-12-01 05:00:00,85801.03,85925.01,85604.0,85755.5,231.4487,1764566099999,19856538.75627780,72226,102.14598000,8764640.77170940,0
2025-12-01 05:15:00,85755.5,86006.85,85701.0,86006.85,156.93849,1764566999999,13470753.91662230,48488,102.06841000,8762138.72570220,0
2025-12-01 05:30:00,86006.85,86006.85,85651.55,85750.49,141.45233,1764567899999,12139176.64100140,45314,65.53778000,5624744.46970120,0
2025-12-01 05:45:00,85750.49,86006.13,85750.48,86001.08,219.52307,1764568799999,18866719.60303020,36570,99.98090000,8591081.19417120,0
2025-12-01 06:00:00,86001.08,86280.0,85974.66,86280.0,249.37915,1764569699999,21485590.28659660,62301,167.90070000,14466867.94307220,0
2025-12-01 06:15:00,86279.99,86280.0,86018.51,86074.3,229.08268,1764570599999,19725937.06970530,49000,67.57872000,5819864.76582600,0
2025-12-01 06:30:00,86074.29,86289.86,85976.11,86289.85,247.13955,1764571499999,21292338.69624670,46961,83.05667000,7155840.38544150,0
